feature,importance_harassment,importance_hate_speech,importance_insult,importance_normal,importance_sexually_explicit,importance_threat,importance_overall
gila,0.027857975319391673,0.17817522380940862,0.06309707658983349,0.09809100095222746,0.02540494042894916,0.08991838369867253,0.48254460079848294
israel,0.09096901148031447,0.06285212980892776,0.005846511666244641,0.05491590789071418,0.05646113316283181,0.14951985489511108,0.42056454890414396
china,0.06261908733217554,0.012007224149803241,0.028281200535169762,0.05734938439236383,0.025800253876392877,0.07135838150117675,0.257415531787082
x,0.023312469270058245,0.011065475591735444,0.009805826643734408,0.010958756136590145,0.030575340599547772,0.02205775149754704,0.10777561973921307
cebong,0.0010269118208057703,0.03625241529069175,0.007080876560938199,0.0363815344964641,0.0023169740225000624,0.010553881610013763,0.09361259380141364
palestina,0.017466693882559857,0.011235117914444372,0.01241832386326735,0.017997236040360676,0.005547021021871692,0.02866992064178206,0.093334313364286
url,0.013764728077164905,0.018068534989834486,0.016498987383228296,0.022622552862047104,0.008791149684289705,0.010610908250439165,0.09035686124700368
islam,0.01473011118627097,0.02567086698930241,0.019222395204460327,0.001619217719614475,0.00566269970445059,0.015563556825495326,0.08246884762959411
cacat,0.011152153832424053,0.02313898221059,0.00466165463453382,0.0013777467679976473,0.0016233352645802501,0.02662839937590228,0.06858227208602805
gaza,0.002605852545779241,0.004848257190721299,0.026161373084558227,0.008442803718876091,0.008748572498799578,0.016424106603383167,0.0672309656421176
cina,0.009226561791511398,0.017155838814653625,0.02142180540183132,0.005215564740495483,0.002193443391945464,0.010470407030138762,0.06568362117057605
indonesia,0.024515274479636827,0.01172534458728485,0.0065970430682184295,0.0074300299669627255,0.00033764388644638547,0.012294586880053653,0.06289992286860287
gay,0.012013820720041483,0.0014667472015587888,0.019926912854700787,0.0026391176808299413,0.017919004611778627,0.00883354199784837,0.062799145066758
jokowi,0.007536626920613007,0.030789981373280654,0.006848059794927426,0.004422817878649147,0.007334884055095394,0.0046475927239953835,0.06157996274656101
gendut,0.006570130053514463,0.022964123358390008,0.00026969370417932265,0.005714861900579258,0.01789468240355565,0.006194402811948862,0.059607894232167564
muslim,0.01218099240987811,0.027297590390527565,0.008815375555507144,0.003994570139473545,0.0032431471592938043,0.0009364948736249929,0.05646817052830517
orang,0.002173371770487852,0.002348951329769573,0.013533422116218262,0.009770827204177063,0.013543503480523144,0.014303231668738613,0.0556733075699145
kristen,0.022515430516657615,0.0003011419849961126,0.007616944660843911,0.019426718253187782,0.0018614128970225582,0.002365677515354698,0.05408732582806268
s,0.00858952676262837,0.00025220215844694543,0.015776996429799427,0.013225279138564257,0.0028697738943668284,0.00852367231794325,0.04923745070174908
ekonomi,0.0026741979340532485,0.00855318857002748,0.011981025108803651,0.018706336700183276,0.0013813140956307733,0.0058833890083317105,0.049179451417030146
