rank,term,avg_tfidf_score
1,israel,0.024755
2,gila,0.021286
3,china,0.014537
4,orang,0.014362
5,x,0.012996
6,indonesia,0.012417
7,palestina,0.011617
8,gaza,0.010399
9,serang,0.007899
10,dukung,0.007302
11,presiden,0.007209
12,jokowi,0.007145
13,hamas,0.007124
14,negara,0.007015
15,f,0.006869
16,anak,0.006869
17,xf,0.006521
18,n,0.006384
19,warga,0.006383
20,islam,0.006363
21,kristen,0.006321
22,cina,0.006269
23,zionis,0.00609
24,rohingya,0.005828
25,agama,0.005801
26,yahudi,0.005433
27,url,0.005327
28,perang,0.005285
29,dunia,0.005151
30,ungsi,0.005138
