metric,value
vocabulary_size,22695
n_features,22695
train_shape,"(33244, 22695)"
test_shape,"(8312, 22695)"
train_samples,33244
test_samples,8312
train_nnz,498384
matrix_density,0.000661
matrix_sparsity,0.999339
avg_features_per_document,14.99
min_features_per_document,0
max_features_per_document,550
train_labels,6
test_labels,6
train_label_distribution_normal,22769
train_label_distribution_hate_speech,5826
train_label_distribution_insult,2712
train_label_distribution_harassment,1006
train_label_distribution_threat,858
train_label_distribution_sexually_explicit,73
test_label_distribution_normal,5693
test_label_distribution_hate_speech,1456
test_label_distribution_insult,678
test_label_distribution_harassment,252
test_label_distribution_threat,215
test_label_distribution_sexually_explicit,18
